Paróquia;Forania;Endereço;Telefone;E-mail;Tipo;Dia da Semana;Horário;Observações;URL
CATEDRAL NOSSA SENHORA DA ABADIA E SANTO ANTÔNIO DE PÁDUA;Centro;Travessa Lídia Baís, 29 - Centro - CEP 79003-120 - Campo Grande/MS;(67) 3321-9886;catedral.santoantonio@hotmail.com;Missa;Quinta-feira;12:00;19h00;https://arquidiocesedecampogrande.org.br/paroquias/catedral-nossa-senhora-da-abadia-e-santo-antonio-de-padua/
CATEDRAL NOSSA SENHORA DA ABADIA E SANTO ANTÔNIO DE PÁDUA;Centro;Travessa Lídia Baís, 29 - Centro - CEP 79003-120 - Campo Grande/MS;(67) 3321-9886;catedral.santoantonio@hotmail.com;Missa;Sexta-feira;12:00;;https://arquidiocesedecampogrande.org.br/paroquias/catedral-nossa-senhora-da-abadia-e-santo-antonio-de-padua/
PARÓQUIA  NOSSA SENHORA DA ABADIA (SANTUÁRIO);Leste;Av. Afonso Pena, 7120 - Chácara Cachoeira -CEP 79040-010;(67) 3306-0050;cg.nsabadia@gmail.com;Missa;Domingo;10:00;17h00, 19h00;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-nossa-senhora-da-abadia-santuario/
PARÓQUIA  NOSSA SENHORA DA ABADIA (SANTUÁRIO);Leste;Av. Afonso Pena, 7120 - Chácara Cachoeira -CEP 79040-010;(67) 3306-0050;cg.nsabadia@gmail.com;Missa;Segunda-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-nossa-senhora-da-abadia-santuario/
PARÓQUIA  NOSSA SENHORA DA ABADIA (SANTUÁRIO);Leste;Av. Afonso Pena, 7120 - Chácara Cachoeira -CEP 79040-010;(67) 3306-0050;cg.nsabadia@gmail.com;Missa;Terça-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-nossa-senhora-da-abadia-santuario/
PARÓQUIA  NOSSA SENHORA DA ABADIA (SANTUÁRIO);Leste;Av. Afonso Pena, 7120 - Chácara Cachoeira -CEP 79040-010;(67) 3306-0050;cg.nsabadia@gmail.com;Missa;Quarta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-nossa-senhora-da-abadia-santuario/
PARÓQUIA  NOSSA SENHORA DA ABADIA (SANTUÁRIO);Leste;Av. Afonso Pena, 7120 - Chácara Cachoeira -CEP 79040-010;(67) 3306-0050;cg.nsabadia@gmail.com;Missa;Quinta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-nossa-senhora-da-abadia-santuario/
PARÓQUIA  NOSSA SENHORA DA ABADIA (SANTUÁRIO);Leste;Av. Afonso Pena, 7120 - Chácara Cachoeira -CEP 79040-010;(67) 3306-0050;cg.nsabadia@gmail.com;Missa;Sexta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-nossa-senhora-da-abadia-santuario/
PARÓQUIA  NOSSA SENHORA DA ABADIA (SANTUÁRIO);Leste;Av. Afonso Pena, 7120 - Chácara Cachoeira -CEP 79040-010;(67) 3306-0050;cg.nsabadia@gmail.com;Missa;Sábado;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-nossa-senhora-da-abadia-santuario/
PARÓQUIA  NOSSA SENHORA DA ABADIA (SANTUÁRIO);Leste;Av. Afonso Pena, 7120 - Chácara Cachoeira -CEP 79040-010;(67) 3306-0050;cg.nsabadia@gmail.com;Missa;Terça-feira;12:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-nossa-senhora-da-abadia-santuario/
PARÓQUIA  NOSSA SENHORA DA ABADIA (SANTUÁRIO);Leste;Av. Afonso Pena, 7120 - Chácara Cachoeira -CEP 79040-010;(67) 3306-0050;cg.nsabadia@gmail.com;Missa;Quinta-feira;12:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-nossa-senhora-da-abadia-santuario/
PARÓQUIA  NOSSA SENHORA DA ABADIA (SANTUÁRIO);Leste;Av. Afonso Pena, 7120 - Chácara Cachoeira -CEP 79040-010;(67) 3306-0050;cg.nsabadia@gmail.com;Missa;1º Sexta-feira do Mês;15:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-nossa-senhora-da-abadia-santuario/
PAROQUIA CORAÇÃO EUCARÍSTICO DE JESUS;Oeste;Rua Yokohama, 1260 - Bairro Coophatrabalho - CEP 79112-260 - Campo Grande - MS;(67) 3361-5220;peucaristicodejesus2020@gmail.com;Missa;Domingo;08:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-coracao-eucaristico-de-jesus/
PAROQUIA CORAÇÃO EUCARÍSTICO DE JESUS;Oeste;Rua Yokohama, 1260 - Bairro Coophatrabalho - CEP 79112-260 - Campo Grande - MS;(67) 3361-5220;peucaristicodejesus2020@gmail.com;Missa;Domingo;19:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-coracao-eucaristico-de-jesus/
PAROQUIA CORAÇÃO EUCARÍSTICO DE JESUS;Oeste;Rua Yokohama, 1260 - Bairro Coophatrabalho - CEP 79112-260 - Campo Grande - MS;(67) 3361-5220;peucaristicodejesus2020@gmail.com;Missa;Quinta-feira;19:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-coracao-eucaristico-de-jesus/
PAROQUIA CORAÇÃO EUCARÍSTICO DE JESUS;Oeste;Rua Yokohama, 1260 - Bairro Coophatrabalho - CEP 79112-260 - Campo Grande - MS;(67) 3361-5220;peucaristicodejesus2020@gmail.com;Missa;Sábado;18:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-coracao-eucaristico-de-jesus/
PAROQUIA CORAÇÃO EUCARÍSTICO DE JESUS;Oeste;Rua Yokohama, 1260 - Bairro Coophatrabalho - CEP 79112-260 - Campo Grande - MS;(67) 3361-5220;peucaristicodejesus2020@gmail.com;Missa;1º Sexta-feira do Mês;15:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-coracao-eucaristico-de-jesus/
PARÓQUIA CRISTO BOM PASTOR;Sudoeste;Rua Petrópolis, 1773 - Bairro Conjunto União - CEP 79091-723;(67) 3317-6960;cbpstor@arqcgr.org.br;Missa;Domingo;08:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-bom-pastor/
PARÓQUIA CRISTO BOM PASTOR;Sudoeste;Rua Petrópolis, 1773 - Bairro Conjunto União - CEP 79091-723;(67) 3317-6960;cbpstor@arqcgr.org.br;Missa;Domingo;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-bom-pastor/
PARÓQUIA CRISTO BOM PASTOR;Sudoeste;Rua Petrópolis, 1773 - Bairro Conjunto União - CEP 79091-723;(67) 3317-6960;cbpstor@arqcgr.org.br;Missa;Segunda-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-bom-pastor/
PARÓQUIA CRISTO BOM PASTOR;Sudoeste;Rua Petrópolis, 1773 - Bairro Conjunto União - CEP 79091-723;(67) 3317-6960;cbpstor@arqcgr.org.br;Missa;Terça-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-bom-pastor/
PARÓQUIA CRISTO BOM PASTOR;Sudoeste;Rua Petrópolis, 1773 - Bairro Conjunto União - CEP 79091-723;(67) 3317-6960;cbpstor@arqcgr.org.br;Missa;Quarta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-bom-pastor/
PARÓQUIA CRISTO BOM PASTOR;Sudoeste;Rua Petrópolis, 1773 - Bairro Conjunto União - CEP 79091-723;(67) 3317-6960;cbpstor@arqcgr.org.br;Missa;Quinta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-bom-pastor/
PARÓQUIA CRISTO BOM PASTOR;Sudoeste;Rua Petrópolis, 1773 - Bairro Conjunto União - CEP 79091-723;(67) 3317-6960;cbpstor@arqcgr.org.br;Missa;Sexta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-bom-pastor/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Domingo;07:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Domingo;08:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Domingo;10:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Domingo;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Segunda-feira;06:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Terça-feira;06:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Quinta-feira;06:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Sexta-feira;06:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Terça-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Quarta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Quinta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Sexta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO LUZ DOS POVOS;Sudoeste;Av. Bandeirantes, 2306 - Bairro Vila Bandeirantes - CEP 79006-003;(67) 3222-8321;cristoluzdospovos@gmail.com;Missa;Sábado;18:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-luz-dos-povos/
PARÓQUIA CRISTO REDENTOR;Sudoeste;Rua Antonio Siufi, 139 - Bairro Guanandi - CEP 79086-400;(67) 3317-6951;cristoredentorcgr@outlook.com;Missa;Sábado;18:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-redentor/
PARÓQUIA CRISTO REDENTOR;Sudoeste;Rua Antonio Siufi, 139 - Bairro Guanandi - CEP 79086-400;(67) 3317-6951;cristoredentorcgr@outlook.com;Missa;Domingo;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-redentor/
PARÓQUIA CRISTO REDENTOR;Sudoeste;Rua Antonio Siufi, 139 - Bairro Guanandi - CEP 79086-400;(67) 3317-6951;cristoredentorcgr@outlook.com;Missa;Terça-feira;19:30;Após, novena N. Sra. Desatadora dos Nós;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-redentor/
PARÓQUIA CRISTO REI;Sudoeste;Rua dos Recifes, 435- Bairro Coophavilla II - Cep 79097-050;;p.cristorei86@gmail.com;Missa;Domingo;07:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-rei/
PARÓQUIA CRISTO REI;Sudoeste;Rua dos Recifes, 435- Bairro Coophavilla II - Cep 79097-050;;p.cristorei86@gmail.com;Missa;Domingo;18:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-rei/
PARÓQUIA CRISTO REI;Sudoeste;Rua dos Recifes, 435- Bairro Coophavilla II - Cep 79097-050;;p.cristorei86@gmail.com;Missa;Segunda-feira;06:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-rei/
PARÓQUIA CRISTO REI;Sudoeste;Rua dos Recifes, 435- Bairro Coophavilla II - Cep 79097-050;;p.cristorei86@gmail.com;Missa;Terça-feira;06:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-rei/
PARÓQUIA CRISTO REI;Sudoeste;Rua dos Recifes, 435- Bairro Coophavilla II - Cep 79097-050;;p.cristorei86@gmail.com;Missa;Quarta-feira;06:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-rei/
PARÓQUIA CRISTO REI;Sudoeste;Rua dos Recifes, 435- Bairro Coophavilla II - Cep 79097-050;;p.cristorei86@gmail.com;Missa;Quinta-feira;06:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-rei/
PARÓQUIA CRISTO REI;Sudoeste;Rua dos Recifes, 435- Bairro Coophavilla II - Cep 79097-050;;p.cristorei86@gmail.com;Missa;Sexta-feira;06:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-rei/
PARÓQUIA CRISTO REI;Sudoeste;Rua dos Recifes, 435- Bairro Coophavilla II - Cep 79097-050;;p.cristorei86@gmail.com;Missa;1º Sábado do Mês;06:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-cristo-rei/
PARÓQUIA DIVINO ESPÍRITO SANTO;Sul;Rua Galeão, 34 - Bairro Aero Rancho - CEP 79083-352;;divinoespiritosanto.paroquia@gmail.com;Missa;Domingo;07:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-divino-espirito-santo/
PARÓQUIA DIVINO ESPÍRITO SANTO;Sul;Rua Galeão, 34 - Bairro Aero Rancho - CEP 79083-352;;divinoespiritosanto.paroquia@gmail.com;Missa;Quarta-feira;19:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-divino-espirito-santo/
PARÓQUIA DIVINO ESPÍRITO SANTO;Sul;Rua Galeão, 34 - Bairro Aero Rancho - CEP 79083-352;;divinoespiritosanto.paroquia@gmail.com;Missa;Sábado;18:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-divino-espirito-santo/
PARÓQUIA DIVINO PARÁCLITO;Sul;Av.  Guaicurus, 4640 - Bairro Colibri II - CEP 79071-071;;divinoparaclito@gmail.com;Missa;Domingo;07:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-divino-paraclito/
PARÓQUIA DIVINO PARÁCLITO;Sul;Av.  Guaicurus, 4640 - Bairro Colibri II - CEP 79071-071;;divinoparaclito@gmail.com;Missa;Sexta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-divino-paraclito/
PARÓQUIA DIVINO PARÁCLITO;Sul;Av.  Guaicurus, 4640 - Bairro Colibri II - CEP 79071-071;;divinoparaclito@gmail.com;Missa;Sexta-feira;19:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-divino-paraclito/
PARÓQUIA IMACULADO CORAÇÃO DE MARIA;Norte;Avenida Hiroshima, 1233 - Bairro Caraná Bosque - CEP 79032-050 - Campo Grande - MS;(67)  2525-8187;picmmscg.adm@gmail.com;Missa;Domingo;07:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-imaculado-coracao-de-maria/
PARÓQUIA IMACULADO CORAÇÃO DE MARIA;Norte;Avenida Hiroshima, 1233 - Bairro Caraná Bosque - CEP 79032-050 - Campo Grande - MS;(67)  2525-8187;picmmscg.adm@gmail.com;Missa;Domingo;09:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-imaculado-coracao-de-maria/
PARÓQUIA IMACULADO CORAÇÃO DE MARIA;Norte;Avenida Hiroshima, 1233 - Bairro Caraná Bosque - CEP 79032-050 - Campo Grande - MS;(67)  2525-8187;picmmscg.adm@gmail.com;Missa;Domingo;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-imaculado-coracao-de-maria/
PARÓQUIA IMACULADO CORAÇÃO DE MARIA;Norte;Avenida Hiroshima, 1233 - Bairro Caraná Bosque - CEP 79032-050 - Campo Grande - MS;(67)  2525-8187;picmmscg.adm@gmail.com;Missa;Segunda-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-imaculado-coracao-de-maria/
PARÓQUIA IMACULADO CORAÇÃO DE MARIA;Norte;Avenida Hiroshima, 1233 - Bairro Caraná Bosque - CEP 79032-050 - Campo Grande - MS;(67)  2525-8187;picmmscg.adm@gmail.com;Missa;Terça-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-imaculado-coracao-de-maria/
PARÓQUIA IMACULADO CORAÇÃO DE MARIA;Norte;Avenida Hiroshima, 1233 - Bairro Caraná Bosque - CEP 79032-050 - Campo Grande - MS;(67)  2525-8187;picmmscg.adm@gmail.com;Missa;Quarta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-imaculado-coracao-de-maria/
PARÓQUIA IMACULADO CORAÇÃO DE MARIA;Norte;Avenida Hiroshima, 1233 - Bairro Caraná Bosque - CEP 79032-050 - Campo Grande - MS;(67)  2525-8187;picmmscg.adm@gmail.com;Missa;Quinta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-imaculado-coracao-de-maria/
PARÓQUIA IMACULADO CORAÇÃO DE MARIA;Norte;Avenida Hiroshima, 1233 - Bairro Caraná Bosque - CEP 79032-050 - Campo Grande - MS;(67)  2525-8187;picmmscg.adm@gmail.com;Missa;Sexta-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-imaculado-coracao-de-maria/
PARÓQUIA IMACULADO CORAÇÃO DE MARIA;Norte;Avenida Hiroshima, 1233 - Bairro Caraná Bosque - CEP 79032-050 - Campo Grande - MS;(67)  2525-8187;picmmscg.adm@gmail.com;Missa;Sábado;08:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-imaculado-coracao-de-maria/
PARÓQUIA IMACULADO CORAÇÃO DE MARIA;Norte;Avenida Hiroshima, 1233 - Bairro Caraná Bosque - CEP 79032-050 - Campo Grande - MS;(67)  2525-8187;picmmscg.adm@gmail.com;Missa;Sábado;18:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-imaculado-coracao-de-maria/
PARÓQUIA MARIA AUXILIADORA DOS CRISTÃOS;Norte;Rua Adriano Metello, 472 - Bairro Coronel Antonino - CEP 79013-030 - Campo Grande - MS;(67) 3029-7414;mariaauxiliadoracg2020@gmail.com;Missa;Domingo;07:00;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-maria-auxiliadora-dos-cristaos/
PARÓQUIA MARIA AUXILIADORA DOS CRISTÃOS;Norte;Rua Adriano Metello, 472 - Bairro Coronel Antonino - CEP 79013-030 - Campo Grande - MS;(67) 3029-7414;mariaauxiliadoracg2020@gmail.com;Missa;Domingo;09:30;;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-maria-auxiliadora-dos-cristaos/
